order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Energy Acquisition,fumarate reductase subunit D,TCA cycle,K00247,,frdD,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,isocitrate dehydrogenase ,TCA cycle,K00031,,"IDH1, IDH2, icd",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,isocitrate dehydrogenase (NAD+) ,TCA cycle,K00030,,IDH3,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,malate dehydrogenase ,TCA cycle,K00024,,mdh,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,malate dehydrogenase ,TCA cycle,K00025,,MDH1,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,malate dehydrogenase ,TCA cycle,K00026,,MDH2,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,malate dehydrogenase (quinone) ,TCA cycle,K00116,,mqo,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,TCA cycle,K00236,,"SDHC, SDH3",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinate dehydrogenase (ubiquinone) flavoprotein subunit ,TCA cycle,K00234,,"SDHA, SDH1",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinate dehydrogenase (ubiquinone) iron-sulfur subunit ,TCA cycle,K00235,,"SDHB, SDH2",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinate dehydrogenase (ubiquinone) membrane anchor subunit,TCA cycle,K00237,,"SDHD, SDH4",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",TCA cycle,K00241,,"sdhC, frdC",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit ",TCA cycle,K00239,,"sdhA, frdA",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit ",TCA cycle,K00240,,"sdhB, frdB",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit",TCA cycle,K00242,,"sdhD, frdD",,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinyl-CoA synthetase alpha subunit ,TCA cycle,K01899,,LSC1,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinyl-CoA synthetase alpha subunit ,TCA cycle,K01902,,sucD,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinyl-CoA synthetase beta subunit ,TCA cycle,K01900,,LSC2,,,,"TCA cycle, complete?",,,,
,Energy Acquisition,succinyl-CoA synthetase beta subunit ,TCA cycle,K01903,,sucC,,,,"TCA cycle, complete?",,,,
,,,,,,,,,,,,,,
1,N and P metabolism,"MFS transporter, NNP family, nitrate/nitrite transporter",Nitrogen,K02575,,"NRT, narK, nrtP, nasA",Transporting nitrate into cell,,"Haley et al. 2017, Alexander et al. 2015",,,,,
,,Formate/nitrite transporter,Nitrogen,,PF01226,NAR,,,,,,,,
2,N and P metabolism,"ammonium transporter, Amt family",Nitrogen,K03320,,"amt, AMT, MEP",Transport ammonium into cell,,"Haley et al. 2017, Alexander et al. 2015",,,,,
3,N and P metabolism,General L-amino acid transport system,Nitrogen,K09969,,AAPJ,Transporting amino acids into the cell,,Alexander et al. 2015,,,,,
4,N and P metabolism,nitrate reductase (NAD(P)H),Nitrogen,K10534,,NR,Converting nitrate to nitrite,,"Haley et al. 2017, Alexander et al. 2015",,,,,
5,N and P metabolism,ferredoxin-nitrite reductase ,Nitrogen,K00366,,nirA,Converting nitrite to ammonium,,"Haley et al. 2017, Alexander et al. 2015",,,,,
6,N and P metabolism,Hydroxylamine reductase,Nitrogen,K05601,,HCP,"Oxidoreductases, nitrogen metabolism, cofactors: FAD and Flavoprotein",,Alexander et al. 2015,,,,,
7,N and P metabolism,Nitronate monooxygenase,Nitrogen,K00459,,NPD,Oxygen-dependent process that oxidizes alkyl nitronates,,Alexander et al. 2015,,,,,
8,N and P metabolism,Cyanate lyase,Nitrogen,K01725,,CYNS,,,Alexander et al. 2015,,,,,
9,N and P metabolism,glutamine synthetase ,GS/GOGAT,K01915,,"glnA, GLUL",,,Alexander et al. 2015,,,,,
10,N and P metabolism,glutamate synthase (NADPH/NADH) ,GS/GOGAT,K00264,,GLT1,,,Alexander et al. 2015,,,,,
11,N and P metabolism,glutamate synthase (ferredoxin) ,GS/GOGAT,K00284,,GLT(ferredoxin),,,Alexander et al. 2015,,,,,
12,N and P metabolism,glutamate synthase; small chain,GS/GOGAT,K00266,,GLTD,,,Alexander et al. 2015,,,,,
13,N and P metabolism,glutamate dehydrogenase (NADP+) ,GS/GOGAT,K00262,,gdhA,,,Alexander et al. 2015,,,,,
14,N and P metabolism,glutamate dehydrogenase,GS/GOGAT,K15371,,gdh2,,,Alexander et al. 2015,,,,,
15,N and P metabolism,carbamoyl-phosphate synthase (ammonia),Urea cycle,K01948,,CPS1,,,Alexander et al. 2015,,,,,
16,N and P metabolism,ornithine carbamoyltransferase,Urea cycle,K00611,,"OTC, argF, argI",,,Alexander et al. 2015,,,,,
17,N and P metabolism,argininosuccinate synthase,Urea cycle,K01940,,"argG, ASS1",,,Alexander et al. 2015,,,,,
18,N and P metabolism,argininosuccinate lyase,Urea cycle,K01755,,"argH, ASL",,,Alexander et al. 2015,,,,,
19,N and P metabolism,arginase ,Urea cycle,K01476,,"rocF, arg",,,Alexander et al. 2015,,,,,
20,N and P metabolism,urease,Urea cycle,K01427,,URE,,,Alexander et al. 2015,,,,,
21,N and P metabolism,urease accessory protein,Urea cycle,K03189,,ureG,,,"Haley et al., 2017",,,,,
22,N and P metabolism,urease accessory protein,Urea cycle,K03190,,"ureD, ureH",,,"Haley et al., 2017",,,,,
23,N and P metabolism,urea transporter,Urea cycle,,PF03253,UT,,,"Haley et al., 2017",,,,,
24,N and P metabolism,urea-proton symporter,Urea cycle,K20989,,DUR3,,,"Haley et al., 2017",,,,,
25,N and P metabolism,phosphate transporter,Phosphorus,K14430,,PHO87_91,,,"Haley et al. 2017, Alexander et al. 2015",,,,,
26,N and P metabolism,Putative phosphate transporter,Phosphorus,K02036,,PTA,,,"Haley et al. 2017, Alexander et al. 2015",,,,,
27,N and P metabolism,Sodium-phosphate cotransporter,Phosphorus,K14683,,NPT,,,"Haley et al. 2017, Alexander et al. 2015",,,,,
28,N and P metabolism,Arsenite-transporting ATPase,Phosphorus,K01551,,ARSA,,,"Haley et al. 2017, Alexander et al. 2015",,,,,
29,N and P metabolism,5-nucleotidase,Phosphorus,K01081,,5-nucleotidase,,,Haley et al. 2017,,,,,
30,N and P metabolism,"Alkaline phosphatase, phosphatase",Phosphorus,K01113,PF09423,phoD,,,Haley et al. 2017,,,,,
31,N and P metabolism,Glycerophosphoryl diester phosphodiesterase,Phosphorus,K01126,,GDP,glycerophosphdiester to phosphate,,"Haley et al. 2017, Alexander et al. 2015",,,,,
32,N and P metabolism,5’-bisphosphate nucleotidase,Phosphorus,K01082,,NTD,Nucleotides to phosphate,,"Haley et al. 2017, Alexander et al. 2015",,,,,
33,N and P metabolism,Vacuolar transport chaperone (VTC4 homolog),Phosphorus,,PF09359,VTC,"polyP metabolism uses VTC (Ogawa et al. 2000), polyphosphate polymerase cleaves P from ATP to make polyphosphate (Hothorn et al., 2009)",,Haley et al. 2017,,,,,
34,N and P metabolism,"Arsenate reductase, arsC",Phosphorus,K00537,,arsC,arsenic detoxification,,Haley et al. 2017,,,,,
,,acetamidase/formamidase family,Phosphorus,,PF03069,AMD,hydrolysis of amides for use as c or n source,,,,,,,
,,Malate:quinone oxidoreductase,,,PF06039,Mqo,,,,,,,,
,,,,,PF01053,,,,,,,,,
,Nutrient processing,cytochrome-b5 reductase,Inorganic N uptake and assimilation,K00326,,cytochrome-b5 reductase,,,,,,,,
,Nutrient processing,glutaminase ,GS/GOGAT,K01425,,"glsA, GLS",,,,,,,,
,Nutrient processing,linoleoyl-CoA desaturase,Inorganic N uptake and assimilation,K00508,,linoleoyl-CoA desaturase,,,,,,,,
,Nutrient processing,lysosomal Pro-X carboxypeptidase,Inorganic N uptake and assimilation,K01285,,PRCP,,,,,,,,
,Nutrient processing,sphingolipid 8-(E)-desaturase,Inorganic N uptake and assimilation,K13076,,SLD,,,,,,,,
,Nutrient processing,sulfite oxidase,Inorganic N uptake and assimilation,K00387,,SUOX,,,,,,,,
,Nutrient processing,assimilatory nitrate reductase catalytic subunit ,Nitrate reduction (assimilatory),K00372,,nasA,,,,,,,,
,Nutrient processing,nitrite reductase (NAD(P)H) ,Nitrate reduction (assimilatory),K17877,,NIT-6,,,,,,,,
,Nutrient processing,aspartate carbamoyltransferase catalytic subunit,Organic N uptake and assimilation,K00609,,"pyrB, PYR2",,,,,,,,
,Nutrient processing,carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase,Organic N uptake and assimilation,K11540,,CAD,,,,,,,,
,Nutrient processing,carbamoyl-phosphate synthase large subunit,Organic N uptake and assimilation,K01955,,"carB, CPA2",,,,,,,,
,Nutrient processing,"fumarate hydratase, class II",Organic N uptake and assimilation,K01679,,fumC,,,,,,,,
,Nutrient Processing,"Arsenical resistance protein, arsH",P,,,,,,,,,,,
,Nutrient Processing,"Arsenite translocating ATPase, arsA",P,,,,,,,,,,,
,Nutrient Processing,PHO4-like (high affinity phosphate transporter),P,,,,,,,,,,,
,Nutrient processing,CDK inhibitor PHO81,P metabolism,K06653,,PHO81,,,,,,,,
,Nutrient processing,E3 ubiquitin-protein ligase BAH,P metabolism,K16275,,"BAH, NLA",,,,,,,,
,Nutrient processing,glycerophosphodiester phosphodiesterase,P metabolism,K18696,,GDE1,,,,,,,,
,Nutrient processing,ribose-phosphate pyrophosphokinase,P metabolism,K00948,,"PRPS, prsA",,,,,,,,
,Nutrient processing,tartrate-resistant acid phosphatase type 5,P metabolism,K14379,,ACP5,,,,,,,,
,Nutrient processing,pyruvate dehydrogenase E1 component alpha subunit ,PDH,K00161,,"PDHA, pdhA",,,,,,,,
,Nutrient processing,pyruvate dehydrogenase E1 component beta subunit ,PDH,K00162,,"PDHB, pdhB",,,,,,,,
,Phagotrophy,actin cytoskeleton-regulatory complex protein END3,Actin polymerization,K20048,,END3,,,,,,,,
,Phagotrophy,"actin related protein 2/3 complex, subunit 1A/1B",Actin polymerization,K05757,,ARPC1A_B,,,,,,,,
